user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
57137,2,19,21,32,1,5,7,0,0,0.6363636363636364,0
57140,7,50,57,131,1,5,29,0,0,0.5918367346938775,0
57288,0,47,47,79,1,5,33,10,0.6666666666666666,0.5892857142857143,0
57340,2,72,74,157,1,5,22,0,0,0.5116279069767442,0
57418,0,19,19,27,1,5,8,0,0,1,0
57421,3,78,81,205,0,4,42,10,0.6666666666666666,0.75,0
57423,0,62,62,93,1,5,32,11,0.7333333333333333,0.6530612244897959,0
57446,0,0,0,0,1,5,0,0,0,0,0
57504,23,49,72,177,1,5,18,10,0.6666666666666666,0.75,0
57523,0,3,3,6,1,5,0,0,0,0,0
57583,0,18,18,34,0,4,0,0,0,0,0
57604,7,61,68,203,1,5,19,9,0.6,0.5757575757575758,0
57612,0,2,2,2,1,5,0,0,0,0,0
57633,0,4,4,6,1,5,0,0,0,0,0
57673,0,0,0,0,0,4,3,0,0,1,0
57730,8,0,8,11,1,5,0,0,0,0,0
57775,0,30,30,74,1,5,4,0,0,0.5714285714285714,0
57804,0,83,83,255,1,5,47,12,0.8,0.8392857142857143,0
57823,4,79,83,194,1,5,45,10,0.6666666666666666,0.8035714285714286,0
57843,10,73,83,212,1,5,43,14,0.9333333333333332,0.7678571428571429,1
57895,0,83,83,87,1,5,52,14,0.9333333333333332,0.9285714285714286,1
57900,0,21,21,42,1,5,5,0,0,0.2777777777777778,0
57917,15,68,83,106,1,5,51,13,0.8666666666666667,0.9107142857142856,1
57918,0,81,81,84,0,4,47,13,0.8666666666666667,0.9591836734693876,1
57966,0,5,5,14,1,5,1,0,0,0.25,0
58061,0,2,2,6,1,5,0,0,0,0,0
58062,6,65,71,155,1,5,30,9,0.6,0.8823529411764706,0
58095,0,5,5,18,1,5,0,0,0,0,0
58110,0,0,0,0,0,4,3,0,0,0.375,0
58120,0,17,17,24,1,5,4,0,0,0.6666666666666666,0
58127,0,4,4,6,1,5,0,0,0,0,0
58148,0,81,81,168,0,4,42,9,0.6,0.75,0
58162,0,26,26,42,1,5,0,0,0,0,0
58166,6,75,81,141,0,4,46,12,0.8,0.8214285714285714,1
58173,2,81,83,155,1,5,34,6,0.4,0.6071428571428571,0
58268,9,37,46,139,1,5,15,0,0,0.6,0
58285,9,45,54,117,1,5,31,0,0,0.7045454545454546,0
58290,8,39,47,119,1,5,43,8,0.5333333333333333,0.7678571428571429,0
58302,12,38,50,159,0,4,14,12,0.8,0.6086956521739131,0
58314,26,57,83,238,1,5,50,11,0.7333333333333333,0.8928571428571429,0
58371,0,12,12,29,0,4,0,0,0,0,0
58413,15,68,83,179,1,5,40,13,0.8666666666666667,0.7142857142857143,1
58423,7,69,76,254,1,5,50,12,0.8,0.8928571428571429,0
58431,0,0,0,0,1,5,0,0,0,0,0
58454,4,6,10,27,1,5,3,0,0,0.5,0
58492,24,59,83,252,1,5,52,12,0.8,0.9285714285714286,1
58504,0,83,83,159,1,5,37,11,0.7333333333333333,0.6607142857142857,0
58515,9,74,83,182,1,5,31,7,0.4666666666666667,0.62,0
58535,14,42,56,146,1,5,28,0,0,0.9333333333333332,0
58545,0,16,16,28,1,5,0,0,0,0,0
58558,3,34,37,79,1,5,30,11,0.7333333333333333,0.6,0
58560,0,9,9,11,1,5,0,0,0,0,0
58574,7,76,83,172,1,5,37,12,0.8,0.6607142857142857,0
58618,35,48,83,174,1,5,52,14,0.9333333333333332,0.9285714285714286,1
58682,10,22,32,54,1,5,8,8,0.5333333333333333,0.6153846153846154,0
58711,3,14,21,30,1,5,1,0,0,0.25,0
58714,0,0,0,0,1,5,0,0,0,0,0
58739,0,8,8,45,1,5,4,0,0,0.8,0
58743,0,7,7,10,0,4,0,0,0,0,0
58759,3,80,83,134,1,5,45,6,0.4,0.8035714285714286,0
58760,13,42,55,158,0,4,15,6,0.4,0.4166666666666667,0
58768,13,70,83,339,1,5,35,8,0.5333333333333333,0.625,0
